Gene.symbol,P.Value,logFC,Cell Line
EDIL3,2.35e-18,-6.35688341,BAS
IGFBP7,2.23e-19,-6.30200118,BAS
TFPI,3.48e-17,-5.950269,BAS
CLDN1,4.55e-19,-5.59905736,BAS
ANKRD1,2.65e-18,-5.41574047,BAS
SAA2,4.74e-18,-5.10997184,BAS
PPARGC1A,1.83e-18,-4.99837398,BAS
GRIA4,3.32e-18,-4.98563751,BAS
NEGR1,5.8e-18,-4.94753703,BAS
APOD,1.87e-18,-4.7866548,BAS
RERG,1.54e-17,-4.61191453,BAS
MGP,7.75e-17,-4.56661828,BAS
ADAM22,4.81e-18,-4.55218504,BAS
SRGN,4.23e-14,-4.54410136,BAS
IGFBP3,3.69e-14,-4.459575,BAS
TGFB2,7.02e-17,-4.41617592,BAS
SAA1,5.9e-16,-4.26356905,BAS
SVEP1,2.96e-17,-4.1780623,BAS
PLXDC2,5.62e-17,-4.0801508,BAS
ADM,1.4e-16,-4.06113479,BAS
FBLN1,2.36e-16,-4.06079952,BAS
CPVL,5.49e-16,-4.01492575,BAS
SLC46A3,7.92e-15,-3.99498284,BAS
CASP1,2.71e-16,-3.97926146,BAS
F2RL2,6.76e-15,-3.85417671,BAS
CLEC2B,1.1e-16,-3.80302391,BAS
GBP2,1.87e-16,-3.77512081,BAS
HPGD,2.8e-16,-3.75600954,BAS
ZEB1,2.07e-16,-3.7528987,BAS
VIM,8.25e-16,-3.74219428,BAS
EYA1,6.1e-15,-3.7384717,BAS
PROS1,1.69e-14,-3.71124067,BAS
PLAAT3,2.1e-15,-3.66731907,BAS
SORT1,2.07e-15,-3.61231619,BAS
SDC2,8.77e-14,-3.59691053,BAS
CSF1,3.04e-15,-3.58118111,BAS
PCDH7,4.21e-16,-3.58016566,BAS
B4GALNT2,3.09e-15,-3.57390532,BAS
KLRC2,1.71e-15,-3.56766234,BAS
NOVA1,1.71e-15,-3.54502896,BAS
MGARP,1.62e-14,-3.53992796,BAS
ALDH3A1,1.45e-13,-3.53520143,BAS
FGF2,4.98e-15,-3.53041827,BAS
CXorf58,4.08e-15,-3.51272791,BAS
CDH2,1.27e-14,-3.45106396,BAS
LOX,1.76e-15,-3.44596566,BAS
CNR1,2.75e-12,-3.4347373,BAS
SEMA3E,2.87e-15,-3.42082589,BAS
CLYBL,1.95e-15,-3.42064818,BAS
KLRC3,1.13e-15,-3.39593338,BAS
ACSL5,1.82e-14,-3.37087907,BAS
MAMDC2,1.01e-14,-3.34578269,BAS
MSRB3,1.04e-13,-3.33448429,BAS
LIMCH1,2.6e-15,-3.30611207,BAS
SLC25A40,9.66e-14,-3.21087218,BAS
CFH,1.24e-13,-3.15700842,BAS
LRIG1,1.19e-12,-3.15499409,BAS
IGF2,1.33e-13,-3.14716567,BAS
CYFIP2,1.55e-14,-3.14239613,BAS
DKK3,9.53e-15,-3.13216181,BAS
BNC2,3.72e-13,-3.0941382,BAS
CROT,2.3e-12,-3.0909605,BAS
CCN2,3.06e-14,-3.08244508,BAS
TGFBR3,3.02e-14,-3.06920833,BAS
NEXN,3.15e-14,-3.05047398,BAS
TLR4,1.37e-13,-3.0285706,BAS
TP73,1.89e-14,-3.02728758,BAS
BICC1,5.67e-11,-3.02141683,BAS
ACTA2,1.64e-14,-3.01937603,BAS
TLR3,1.9e-11,-3.01153233,BAS
NUPR1,3.12e-14,-3.00612649,BAS
GYPC,5.29e-14,-2.98735603,BAS
SLC47A1,7.32e-14,-2.94469821,BAS
SUSD2,3.33e-14,-2.92308249,BAS
EBF1,1.98e-14,-2.89135158,BAS
LTBP1,2.9e-12,-2.88972881,BAS
IGFBP2,1.03e-12,-2.86586356,BAS
FBXO32,3.35e-10,-2.86374495,BAS
TLE4,5.07e-14,-2.84900115,BAS
EPHX1,2.42e-13,-2.84761635,BAS
C1QL1,2.8e-13,-2.84445381,BAS
ANXA6,1.13e-12,-2.83220979,BAS
GGT5,2.34e-11,-2.82461212,BAS
CLDN11,8.2e-14,-2.80661108,BAS
FOXO1,3.13e-13,-2.8053915,BAS
EPS8,7.47e-13,-2.8004484,BAS
LONRF3,1.06e-12,-2.79456883,BAS
RGL1,8.88e-14,-2.79448131,BAS
MMP2,2.74e-13,-2.7895153,BAS
ZBTB16,1.6e-12,-2.77927179,BAS
TNFSF10,3.24e-14,-2.76302488,BAS
GNG11,1.29e-13,-2.76254344,BAS
MERTK,1.48e-13,-2.75633133,BAS
HHAT,4.69e-12,-2.73839808,BAS
NKAIN2,1.5e-12,-2.73238524,BAS
NALCN,9.69e-13,-2.70646089,BAS
SEMA3C,9.97e-13,-2.70490991,BAS
ADAM12,8.73e-13,-2.70421391,BAS
SLC25A45,9.84e-13,-2.69643266,BAS
F2R,2.36e-11,-2.68057907,BAS
CD70,7.25e-13,-2.67653395,BAS
SLC47A2,2.6e-11,-2.66742646,BAS
MSC,2.97e-11,-2.66672849,BAS
MCTP1,3.85e-12,-2.65525147,BAS
EDN1,1.22e-12,-2.6529998,BAS
TTLL7,1.24e-12,-2.63680325,BAS
TSPAN7,8.4e-12,-2.63425935,BAS
DNAJC6,6.47e-12,-2.60815895,BAS
